System Time,RDTSC,Elapsed Time (sec),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package Power Limit_0(Watt),GT Frequency(MHz)
09:54:04:185, 235827330312299,   57.637, 2000,  14.145,1008.873, 280.242,   6.095, 349.995,  97.221, 74,  0,   3.695, 417.751, 116.042,  25.000,  900
09:54:04:357, 235827797699550,   57.817, 2000,  15.085,1011.591, 280.997,   6.541, 351.173,  97.548, 74,  0,   4.186, 418.506, 116.252,  25.000,  950
09:54:04:560, 235828318117614,   58.018, 2000,  16.189,1014.839, 281.900,   5.527, 352.282,  97.856, 73,  0,   6.393, 419.788, 116.608,  25.000,  750
09:54:04:763, 235828832356687,   58.216, 2000,  15.049,1017.822, 282.728,   5.571, 353.387,  98.163, 71,  0,   5.133, 420.806, 116.890,  25.000,  700
09:54:04:966, 235829354823863,   58.417, 2000,  14.710,1020.785, 283.551,   5.367, 354.468,  98.463, 72,  0,   5.047, 421.822, 117.173,  25.000,  700
09:54:05:154, 235829871201169,   58.616, 2000,  14.831,1023.737, 284.371,   5.737, 355.610,  98.780, 72,  0,   4.703, 422.758, 117.433,  25.000,  750
09:54:05:357, 235830390963196,   58.817, 2000,  14.863,1026.715, 285.199,   5.181, 356.648,  99.069, 71,  0,   5.459, 423.852, 117.737,  25.000,  750
09:54:05:557, 235830907611160,   59.016, 2000,  15.133,1029.729, 286.036,   5.725, 357.788,  99.386, 73,  0,   5.056, 424.859, 118.016,  25.000,  700
09:54:05:760, 235831429985539,   59.217, 2000,  14.762,1032.702, 286.862,   5.228, 358.841,  99.678, 71,  0,   5.205, 425.908, 118.308,  25.000,  700
09:54:05:963, 235831947464969,   59.417, 2000,  14.929,1035.680, 287.689,   5.211, 359.881,  99.967, 72,  0,   5.421, 426.989, 118.608,  25.000,  700
09:54:06:166, 235832469575267,   59.618, 2000,  14.925,1038.685, 288.523,   5.290, 360.945, 100.263, 72,  0,   5.358, 428.067, 118.908,  25.000,  700
09:54:06:354, 235832985978100,   59.817, 2000,  14.938,1041.658, 289.350,   5.250, 361.990, 100.553, 71,  0,   5.400, 429.142, 119.206,  25.000,  700
09:54:06:557, 235833506278317,   60.018, 2000,  15.024,1044.672, 290.187,   5.713, 363.136, 100.871, 71,  0,   5.027, 430.151, 119.486,  25.000,  700

Total Elapsed Time (sec) = 60.017711
Measured RDTSC Frequency (GHz) = 2.594

Cumulative Processor Energy_0 (Joules) = 1044.671875
Cumulative Processor Energy_0 (mWh) = 290.186632
Average Processor Power_0 (Watt) = 17.406060

Cumulative IA Energy_0 (Joules) = 363.136414
Cumulative IA Energy_0 (mWh) = 100.871226
Average IA Power_0 (Watt) = 6.050488

Cumulative GT Energy_0 (Joules) = 430.150696
Cumulative GT Energy_0 (mWh) = 119.486304
Average GT Power_0 (Watt) = 7.167063
